callsid,tonality_variations,call_date,call_duration_sec,non_human_like_voice_instances,asr_errors,incorrect_responses,repetition_by_bot,interruption_handling_error,hallucination_error,high_response_time_flag,bot_followed_script_flag,fatal_student_identified_ai,fatal_ai_off_script,fatal_call_others,call_outcome,introduction_correct_flag,qualification_executed_flag,preference_executed_flag,closing_correct_flag,comments
CALL_0000093,2,2025-11-30,118,1,0,0,0,0,0,False,True,False,False,False,NA,True,True,True,True,
CALL_0000094,0,2025-11-30,26,1,0,0,0,0,0,False,False,False,False,False,Cold,True,False,False,True,Hallucination: incorrect info given.
CALL_0000095,2,2025-11-24,28,0,0,0,0,0,0,False,False,False,False,False,Warm,True,True,False,True,
CALL_0000096,2,2025-11-19,182,0,1,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,Hallucination: incorrect info given.
CALL_0000097,2,2025-11-07,135,0,0,0,0,0,0,False,False,False,False,False,Cold,True,True,False,True,Flat voice; empathy missed.
CALL_0000098,0,2025-11-21,6,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,False,False,True,True,
CALL_0000099,4,2025-11-13,89,0,0,0,0,0,0,False,False,False,False,False,Cold,True,True,True,True,
CALL_0000100,1,2025-11-03,7,1,0,0,0,0,0,False,False,False,False,False,Cold,True,True,True,True,
CALL_0000101,2,2025-11-10,141,1,0,0,0,0,0,False,True,False,False,False,NA,True,False,True,True,
CALL_0000102,2,2025-11-05,163,0,0,0,0,0,0,False,False,False,False,False,Cold,False,False,True,False,
CALL_0000103,1,2025-12-01,6,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,Flat voice; empathy missed.
CALL_0000104,1,2025-11-23,17,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000105,0,2025-11-07,29,0,0,0,0,0,0,False,True,False,False,False,Cold,False,True,True,True,
CALL_0000106,2,2025-11-30,57,0,0,0,0,0,0,False,False,False,False,False,Hot,True,True,True,False,
CALL_0000107,1,2025-11-03,210,2,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,
CALL_0000108,1,2025-11-23,17,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000109,0,2025-11-02,12,0,0,0,0,0,0,False,True,False,False,False,NA,False,True,False,True,
CALL_0000110,2,2025-11-21,18,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,Bot repeated the same line twice.
CALL_0000111,1,2025-11-11,15,0,0,0,0,0,0,False,False,False,False,False,Hot,True,False,True,True,
CALL_0000112,1,2025-11-08,30,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000113,2,2025-11-10,25,0,0,0,1,0,0,False,True,False,False,False,Cold,True,True,False,False,High response time observed.
CALL_0000114,1,2025-11-19,15,1,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,True,True,True,
CALL_0000115,1,2025-11-22,7,0,0,0,0,0,0,False,False,False,False,False,Callback Requested,True,True,False,True,
CALL_0000116,2,2025-11-29,145,0,1,0,0,0,0,False,False,False,False,False,NA,True,True,False,True,Hallucination: incorrect info given.
CALL_0000117,2,2025-12-01,102,1,0,0,0,0,0,False,True,False,False,False,NA,True,True,False,True,
CALL_0000118,0,2025-11-02,88,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,False,True,True,Script followed but closing weak.
CALL_0000119,4,2025-11-27,8,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000120,3,2025-11-25,20,2,0,0,0,0,0,False,False,False,False,False,Cold,True,True,True,True,
CALL_0000121,3,2025-11-25,30,0,0,0,0,0,0,False,True,False,False,False,Warm,True,True,True,True,
CALL_0000122,5,2025-11-30,13,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000123,0,2025-11-27,19,1,0,0,0,0,0,False,True,False,False,False,Warm,True,True,False,True,Non-human voice detected.
CALL_0000124,1,2025-11-06,13,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000125,1,2025-11-20,202,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,False,True,False,
CALL_0000126,0,2025-11-29,147,0,0,0,0,0,0,False,True,False,False,False,Cold,False,True,True,True,Non-human voice detected.
CALL_0000127,1,2025-11-29,220,0,0,0,0,0,0,False,True,False,False,False,Converted,True,True,False,True,
CALL_0000128,3,2025-11-28,185,0,0,0,0,0,0,False,True,False,False,False,Cold,False,False,True,True,
CALL_0000129,3,2025-11-30,23,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000130,2,2025-11-25,191,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,False,Student requested callback.
CALL_0000131,2,2025-11-22,190,1,2,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,High response time observed.
CALL_0000132,0,2025-11-18,10,2,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000133,2,2025-11-19,179,0,0,0,0,0,0,False,False,False,False,False,Callback Requested,True,True,True,True,
CALL_0000134,0,2025-11-02,155,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000135,1,2025-11-29,85,0,0,0,0,0,0,False,False,False,False,False,Cold,True,True,True,True,
CALL_0000136,1,2025-12-01,5,2,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,
CALL_0000137,1,2025-11-11,23,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,True,True,True,
CALL_0000138,2,2025-11-09,244,0,0,0,0,0,0,False,False,False,False,False,Cold,True,False,False,True,Script followed but closing weak.
CALL_0000139,0,2025-11-25,203,0,0,0,0,0,0,True,True,False,False,False,Cold,True,True,True,False,
CALL_0000140,2,2025-11-14,11,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,False,True,True,
CALL_0000141,1,2025-11-25,102,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,False,True,True,
CALL_0000142,1,2025-11-22,19,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000143,4,2025-11-18,192,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,High response time observed.
CALL_0000144,0,2025-11-06,75,0,0,0,0,0,0,False,True,False,False,False,NA,True,False,True,False,"Good flow, minor ASR glitch."
CALL_0000145,4,2025-11-16,23,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000146,2,2025-11-15,27,0,0,0,0,0,0,True,False,False,False,False,Cold,True,True,True,True,
CALL_0000147,1,2025-11-27,87,0,0,0,0,0,0,True,True,False,False,False,Warm,True,True,True,True,
CALL_0000148,0,2025-11-26,26,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000149,0,2025-11-27,180,1,0,0,0,0,0,False,True,False,False,False,NA,True,True,False,True,
CALL_0000150,1,2025-11-01,14,2,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,True,True,True,
CALL_0000151,2,2025-11-10,11,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,False,Script followed but closing weak.
CALL_0000152,1,2025-11-11,205,0,0,0,0,0,0,False,False,False,False,False,Cold,True,False,True,True,
CALL_0000153,1,2025-12-01,200,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000154,1,2025-11-04,107,0,0,0,0,0,0,True,True,False,False,False,Cold,True,True,True,False,
CALL_0000155,1,2025-11-06,64,0,0,0,0,0,0,False,True,False,False,False,Warm,True,True,False,True,
CALL_0000156,2,2025-11-04,5,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000157,0,2025-11-26,169,0,0,0,0,0,0,False,True,False,False,False,NA,True,True,True,False,Bot repeated the same line twice.
CALL_0000158,1,2025-11-02,203,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000159,4,2025-11-06,7,0,0,0,0,0,0,False,True,False,False,False,NA,True,True,True,True,
CALL_0000160,2,2025-11-19,109,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000161,1,2025-11-05,132,0,0,0,0,0,0,False,False,False,False,False,Cold,False,True,True,False,
CALL_0000162,2,2025-12-01,5,0,0,0,0,0,0,False,False,False,False,False,Cold,True,True,False,True,
CALL_0000163,1,2025-11-24,171,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000164,2,2025-11-22,209,0,0,0,0,0,0,False,True,False,False,False,Warm,True,True,True,True,
CALL_0000165,2,2025-11-13,20,0,0,0,0,0,0,False,False,False,False,False,Cold,True,False,False,True,
CALL_0000166,1,2025-11-19,7,2,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000167,1,2025-11-03,165,0,0,0,0,0,0,False,True,False,False,False,Cold,False,True,True,True,
CALL_0000168,2,2025-11-03,15,0,2,0,0,0,0,False,True,False,False,False,Cold,True,False,True,False,
CALL_0000169,0,2025-11-16,21,0,0,0,1,0,0,False,False,False,False,False,Warm,False,True,True,True,
CALL_0000170,0,2025-11-19,141,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000171,1,2025-11-06,261,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000172,2,2025-11-07,24,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000173,0,2025-11-16,200,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,Non-human voice detected.
CALL_0000174,1,2025-12-01,174,1,0,0,0,0,0,False,False,False,False,False,Cold,True,False,False,False,
CALL_0000175,5,2025-11-24,98,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,False,True,True,
CALL_0000176,0,2025-11-01,93,0,0,0,0,0,0,False,True,False,False,False,Warm,True,True,True,False,
CALL_0000177,2,2025-11-22,27,2,0,0,0,0,0,False,False,False,False,False,Cold,True,True,True,True,
CALL_0000178,2,2025-11-02,15,2,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000179,3,2025-11-26,97,0,0,0,0,0,0,False,True,False,False,False,Warm,False,False,False,False,
CALL_0000180,2,2025-11-24,147,0,0,0,0,0,0,False,True,False,False,False,Converted,True,False,True,True,
CALL_0000181,2,2025-11-12,24,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000182,4,2025-11-17,101,1,0,1,0,0,0,False,False,False,False,False,NA,True,True,True,False,
CALL_0000183,0,2025-11-29,233,1,0,0,0,0,0,False,False,False,False,False,Cold,True,False,True,False,
CALL_0000184,1,2025-11-17,47,1,0,0,0,0,0,False,True,False,False,False,Warm,False,True,False,True,
CALL_0000185,2,2025-11-11,14,0,0,0,0,0,0,False,True,False,False,False,Cold,False,True,True,True,
CALL_0000186,1,2025-11-07,25,0,0,0,0,0,0,True,True,False,False,False,NA,True,False,True,True,
CALL_0000187,0,2025-11-24,93,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000188,1,2025-11-25,157,1,0,0,0,0,0,False,False,False,False,False,Cold,True,False,True,True,
CALL_0000189,2,2025-11-13,19,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000190,1,2025-11-17,140,0,1,0,0,0,0,False,False,False,False,False,Converted,True,False,False,True,
CALL_0000191,0,2025-11-14,199,0,0,0,0,0,0,False,True,False,False,False,NA,True,False,True,True,
CALL_0000192,0,2025-11-26,23,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,True,False,True,False,
CALL_0000193,1,2025-11-10,14,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000194,1,2025-11-22,135,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000195,0,2025-11-10,9,0,0,0,0,0,0,False,True,False,False,False,Converted,True,False,False,True,
CALL_0000196,1,2025-11-21,21,0,0,0,0,0,0,True,True,False,False,False,Converted,True,False,False,True,
CALL_0000197,2,2025-11-07,26,0,0,0,0,0,0,True,True,False,False,False,Callback Requested,True,True,True,True,
CALL_0000198,3,2025-11-14,7,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,False,
CALL_0000199,3,2025-11-22,214,1,0,0,0,0,0,False,True,False,False,False,Hot,True,True,True,True,Bot repeated the same line twice.
CALL_0000200,1,2025-11-24,7,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000201,1,2025-11-22,16,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000202,3,2025-11-19,192,2,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000203,1,2025-11-09,17,0,0,0,0,0,0,False,True,False,False,False,Converted,False,True,True,True,
CALL_0000204,3,2025-11-21,165,0,0,0,0,0,0,True,True,False,False,False,Cold,True,True,True,True,Flat voice; empathy missed.
CALL_0000205,0,2025-11-09,28,0,0,0,0,0,0,False,True,False,False,False,Converted,True,True,False,True,Flat voice; empathy missed.
CALL_0000206,3,2025-11-12,23,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000207,3,2025-11-18,16,0,0,0,0,0,0,False,False,False,False,False,Cold,True,True,False,False,
CALL_0000208,1,2025-11-22,67,0,0,0,0,0,0,False,True,False,False,False,Cold,False,True,True,True,
CALL_0000209,3,2025-11-27,59,0,0,0,0,0,0,False,False,False,False,False,Cold,False,True,False,False,
CALL_0000210,0,2025-11-03,15,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,High response time observed.
CALL_0000211,1,2025-11-30,118,0,0,0,0,0,0,False,False,False,False,False,Cold,True,True,True,True,
CALL_0000212,2,2025-12-01,175,1,1,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,
CALL_0000213,0,2025-11-23,15,0,0,0,0,0,0,False,False,False,False,False,Cold,True,True,True,True,
CALL_0000214,2,2025-11-01,20,0,0,0,0,0,0,False,True,False,False,False,NA,True,False,True,True,
CALL_0000215,2,2025-11-11,15,0,0,0,0,0,0,False,True,False,False,False,Callback Requested,False,True,False,False,
CALL_0000216,1,2025-11-25,134,0,0,0,0,0,0,False,True,False,False,False,NA,True,True,False,False,
CALL_0000217,1,2025-11-11,215,0,0,0,0,0,0,False,True,False,False,False,Warm,True,True,True,True,Flat voice; empathy missed.
CALL_0000218,0,2025-11-01,158,0,0,0,0,0,0,False,True,False,False,False,Warm,False,False,True,True,
CALL_0000219,0,2025-12-01,132,0,0,0,0,0,0,False,False,False,False,False,Cold,True,False,False,True,
CALL_0000220,2,2025-11-01,189,0,0,0,0,0,0,False,True,False,False,False,Cold,False,False,True,True,Hallucination: incorrect info given.
CALL_0000221,1,2025-11-23,114,0,1,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000222,2,2025-11-04,183,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,
CALL_0000223,1,2025-11-23,8,0,0,0,0,0,0,False,True,False,False,False,Cold,False,True,True,True,
CALL_0000224,1,2025-11-16,184,0,0,0,0,0,0,False,True,False,False,False,Converted,True,True,False,True,
CALL_0000225,1,2025-11-13,35,1,0,0,0,0,0,False,False,False,False,False,Converted,True,False,True,True,
CALL_0000226,2,2025-11-22,26,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000227,3,2025-11-26,162,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000228,2,2025-11-22,232,0,0,0,0,0,0,False,False,False,False,False,Cold,False,True,False,True,"Good flow, minor ASR glitch."
CALL_0000229,1,2025-11-09,12,0,0,0,0,0,0,False,False,False,False,False,Cold,True,False,True,True,
CALL_0000230,2,2025-11-08,25,1,0,1,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000231,2,2025-11-18,28,0,0,0,0,0,0,True,False,False,False,False,Cold,True,True,True,True,
CALL_0000232,1,2025-11-09,124,1,0,0,0,0,0,False,False,False,False,False,Callback Requested,True,False,True,True,
CALL_0000233,3,2025-11-21,14,1,0,0,0,0,0,True,True,False,False,False,Warm,True,True,False,True,
CALL_0000234,2,2025-11-14,24,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
CALL_0000235,2,2025-11-22,7,0,0,0,0,0,0,False,False,False,False,False,Cold,True,False,False,True,Script followed but closing weak.
CALL_0000236,0,2025-11-21,22,1,0,0,0,0,0,False,True,False,False,False,Cold,True,False,True,True,
CALL_0000237,1,2025-11-10,10,0,0,0,0,0,0,False,True,False,False,False,Cold,True,False,False,True,
CALL_0000238,4,2025-11-26,118,0,0,1,0,0,0,False,True,False,False,False,Cold,True,True,False,True,
CALL_0000239,3,2025-11-13,106,2,0,0,2,0,0,False,True,False,False,False,Cold,True,True,True,True,High response time observed.
CALL_0000240,3,2025-11-20,114,0,0,0,0,0,0,False,True,False,False,False,Warm,False,True,True,True,
CALL_0000241,3,2025-11-08,180,0,0,0,0,0,0,False,True,False,False,False,Converted,True,True,False,True,
CALL_0000242,1,2025-12-01,150,1,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,False,
CALL_0000243,3,2025-11-18,95,0,0,0,0,0,0,False,True,False,False,False,Cold,True,True,True,True,
